Prov,Prefx,Capacity
Shanxi,Xinzhou,141.81
Shanxi,Yangquan,0.0
Shanxi,Yuncheng,29.52
Sichuan,Aba,94.8
Sichuan,Bazhong,0.0
Sichuan,Chengdu,0.0
Sichuan,Dazhou,0.0
Sichuan,Deyang,0.0
Sichuan,Ganzi,679.16
Sichuan,Guangan,0.0
Sichuan,Guangyuan,0.0
Sichuan,Leshan,0.0
Sichuan,Liangshan,137.74
Sichuan,Luzhou,0.0
Sichuan,Meishan,0.0
Sichuan,Mianyang,0.0
Sichuan,Nanchong,0.0
Sichuan,Neijiang,0.0
Sichuan,Panzhihua,19.75
Sichuan,Suining,0.0
Sichuan,Yaan,0.38
Sichuan,Yibin,0.0
Sichuan,Zigong,0.0
Sichuan,Ziyang,0.0
Sinkiang,Aksu,1076.22
Sinkiang,Altay,525.9
Sinkiang,Arai,2.84
Sinkiang,Bayingolin,4442.14
Sinkiang,Beitun,1.17
Sinkiang,Bortala,22.09
Sinkiang,Changji,594.24
Sinkiang,Hami,1466.01
Sinkiang,Hotan,2780.85
Sinkiang,Huyanghe,4.18
Sinkiang,IliKazakh,55.86
Sinkiang,Karamay,64.63
Sinkiang,Kashgar,894.13
Sinkiang,KizilsuKirgiz,381.46
Sinkiang,Kokdala,6.39
Sinkiang,Kunyu,10.0
Sinkiang,Shihezi,2.18
Sinkiang,Shuanghe,0.0
Sinkiang,Tacheng,590.89
Sinkiang,Tiemenguan,4.25
Sinkiang,Tumshuk,22.15
Sinkiang,Turpan,737.94
Sinkiang,Urumqi,76.29
Sinkiang,Wujiaqu,5.43
Taiwan,Taiwanx,47.38
Tianjin,Tianjin,19.39
Tibet,Ali,3764.75
Tibet,Changdu,417.74
Tibet,Lhasa,175.18
Tibet,Nagqu,4381.35
Tibet,Nyingchi,132.89
Tibet,Shannan,262.37
Tibet,Shigatse,1205.77
Yunnan,Baoshan,57.23
Yunnan,Chuxiong,170.3
Yunnan,Dali,97.01
Yunnan,Dehong,7.48
Yunnan,Diqing,0.05
Yunnan,Honghe,230.71
Yunnan,Kunming,135.47
Yunnan,Lijiang,1.61
Yunnan,Lincang,67.13
Yunnan,Nujiang,3.21
Yunnan,Puer,46.12
Yunnan,Qujing,137.37
Yunnan,Wenshan,373.01
Yunnan,Xishuangbanna,0.16
Yunnan,Yuxi,86.72
Yunnan,Zhaotong,33.98
Zhejiang,Hangzhou,51.35
Zhejiang,Huzhou,54.38
Zhejiang,Jiaxing,16.19
Zhejiang,Jinhua,66.52
Zhejiang,Lishui,22.99
Zhejiang,Ningbo,39.14
Zhejiang,Quzhou,46.8
Zhejiang,Shaoxing,46.21
Zhejiang,Taizhou,44.72
Zhejiang,Wenzhou,34.26
Zhejiang,Zhoushan,0.0
